epoch,step,loss
1,1,1.6908187866210938
1,2,1.386307716369629
1,3,1.2019176483154297
1,4,1.0443534851074219
1,5,0.8062481880187988
1,6,1.0817407369613647
2,1,0.7029963731765747
2,2,0.7496249675750732
2,3,0.669106662273407
2,4,0.6973892450332642
2,5,0.64653480052948
3,1,0.7838050127029419
3,2,0.5517433881759644
3,3,0.5302282571792603
3,4,0.5949424505233765
3,5,0.5211470127105713
4,1,0.4459998309612274
4,2,0.5566132068634033
4,3,0.6100157499313354
4,4,0.583918571472168
4,5,0.5045980215072632
5,1,0.5092183351516724
5,2,0.43803003430366516
5,3,0.5497459173202515
5,4,0.4345496892929077
5,5,0.4710289239883423
6,1,0.3616461455821991
6,2,0.39626121520996094
6,3,0.4517890214920044
6,4,0.4815596640110016
6,5,0.36384958028793335
7,1,0.29313045740127563
7,2,0.3476749658584595
7,3,0.4324917197227478
7,4,0.3631885349750519
7,5,0.37528789043426514
8,1,0.396727055311203
8,2,0.3056734800338745
8,3,0.3502754271030426
8,4,0.2618546485900879
8,5,0.3306710124015808
9,1,0.3814833462238312
9,2,0.3024630844593048
9,3,0.2275252640247345
9,4,0.3128812313079834
9,5,0.3190339207649231
10,1,0.2599657475948334
10,2,0.23066967725753784
10,3,0.2676589787006378
10,4,0.27897095680236816
10,5,0.2611773610115051
11,1,0.2354072481393814
11,2,0.17370371520519257
11,3,0.23765303194522858
11,4,0.2549527883529663
11,5,0.2057393193244934
12,1,0.1894228309392929
12,2,0.2921902537345886
12,3,0.2594323754310608
12,4,0.2621385157108307
12,5,0.17129935324192047
13,1,0.18791891634464264
13,2,0.18290771543979645
13,3,0.15144765377044678
13,4,0.2530052959918976
13,5,0.20214274525642395
14,1,0.22962017357349396
14,2,0.2524092197418213
14,3,0.18313810229301453
14,4,0.14660446345806122
14,5,0.25879591703414917
15,1,0.10559730231761932
15,2,0.20394515991210938
15,3,0.21996092796325684
15,4,0.1673823595046997
15,5,0.14382383227348328
16,1,0.10265891999006271
16,2,0.15563692152500153
16,3,0.09870709478855133
16,4,0.15479440987110138
16,5,0.29739969968795776
17,1,0.1772053837776184
17,2,0.1742756962776184
17,3,0.14116311073303223
17,4,0.1628561168909073
17,5,0.10240461677312851
18,1,0.17260943353176117
18,2,0.16867949068546295
18,3,0.2134844958782196
18,4,0.1937052607536316
18,5,0.14010123908519745
19,1,0.09838457405567169
19,2,0.16213080286979675
19,3,0.07716946303844452
19,4,0.12052073329687119
19,5,0.1926104575395584
20,1,0.08133576810359955
20,2,0.07349135726690292
20,3,0.11300897598266602
20,4,0.1427665650844574
20,5,0.17054089903831482
21,1,0.17212438583374023
21,2,0.15353387594223022
21,3,0.04436463862657547
21,4,0.1481764018535614
21,5,0.1244037076830864
22,1,0.08511895686388016
22,2,0.1054595410823822
22,3,0.18218353390693665
22,4,0.14486394822597504
22,5,0.2180343121290207
23,1,0.04695236682891846
23,2,0.13742601871490479
23,3,0.04757589474320412
23,4,0.20052440464496613
23,5,0.05639065057039261
24,1,0.04701090231537819
24,2,0.11602312326431274
24,3,0.039096832275390625
24,4,0.10286328941583633
24,5,0.05398539826273918
