epoch,step,loss,datetime
0,0,6.236376762390137,2024-04-09 12:20:05.241935
0,10,6.236377239227295,2024-04-09 12:20:17.505303
0,20,nan,2024-04-09 12:20:29.463351
0,30,nan,2024-04-09 12:20:41.460795
0,40,nan,2024-04-09 12:20:53.620294
0,50,nan,2024-04-09 12:21:06.179513
0,60,nan,2024-04-09 12:21:18.473553
0,70,nan,2024-04-09 12:21:30.454850
0,80,nan,2024-04-09 12:21:42.550136
0,90,nan,2024-04-09 12:21:54.799723
0,100,nan,2024-04-09 12:22:07.194384
0,110,nan,2024-04-09 12:22:19.213173
0,120,nan,2024-04-09 12:22:31.224265
0,130,nan,2024-04-09 12:22:43.170891
0,140,nan,2024-04-09 12:22:55.462613
0,150,nan,2024-04-09 12:23:07.531700
0,160,nan,2024-04-09 12:23:19.351781
0,170,nan,2024-04-09 12:23:31.362123
0,180,nan,2024-04-09 12:23:43.240441
0,190,nan,2024-04-09 12:23:55.121747
0,200,nan,2024-04-09 12:24:07.199555
0,210,nan,2024-04-09 12:24:19.334783
0,220,nan,2024-04-09 12:24:31.539002
0,230,nan,2024-04-09 12:24:43.833884
0,240,nan,2024-04-09 12:24:56.221561
0,250,nan,2024-04-09 12:25:08.454315
0,260,nan,2024-04-09 12:25:20.677048
0,270,nan,2024-04-09 12:25:32.789077
0,280,nan,2024-04-09 12:25:44.981742
0,290,nan,2024-04-09 12:25:57.149194
0,300,nan,2024-04-09 12:26:09.429968
0,310,nan,2024-04-09 12:26:21.665889
0,320,nan,2024-04-09 12:26:33.894460
0,330,nan,2024-04-09 12:26:46.152840
0,340,nan,2024-04-09 12:26:58.359144
0,350,nan,2024-04-09 12:27:10.575007
0,360,nan,2024-04-09 12:27:22.779406
0,370,nan,2024-04-09 12:27:35.057282
0,380,nan,2024-04-09 12:27:47.372775
0,390,nan,2024-04-09 12:27:59.710504
0,400,nan,2024-04-09 12:28:12.062393
0,410,nan,2024-04-09 12:28:24.268594
0,420,nan,2024-04-09 12:28:36.555894
0,430,nan,2024-04-09 12:28:48.862763
0,440,nan,2024-04-09 12:29:01.136280
0,450,nan,2024-04-09 12:29:13.372942
0,460,nan,2024-04-09 12:29:25.683149
0,470,nan,2024-04-09 12:29:37.915858
0,480,nan,2024-04-09 12:29:50.256724
0,490,nan,2024-04-09 12:30:02.446738
0,500,nan,2024-04-09 12:30:14.737674
0,510,nan,2024-04-09 12:30:27.087654
0,520,nan,2024-04-09 12:30:39.379311
0,530,nan,2024-04-09 12:30:51.767110
0,540,nan,2024-04-09 12:31:04.210337
0,550,nan,2024-04-09 12:31:16.683346
0,560,nan,2024-04-09 12:31:29.020989
0,570,nan,2024-04-09 12:31:41.453317
0,580,nan,2024-04-09 12:31:53.717884
0,590,nan,2024-04-09 12:32:05.956193
1,0,nan,2024-04-09 12:32:28.183397
1,10,nan,2024-04-09 12:32:38.954123
1,20,nan,2024-04-09 12:32:49.659428
1,30,nan,2024-04-09 12:33:00.357915
1,40,nan,2024-04-09 12:33:11.111058
1,50,nan,2024-04-09 12:33:21.807357
1,60,nan,2024-04-09 12:33:32.479129
1,70,nan,2024-04-09 12:33:43.126730
1,80,nan,2024-04-09 12:33:53.820470
1,90,nan,2024-04-09 12:34:04.432992
1,100,nan,2024-04-09 12:34:15.118314
1,110,nan,2024-04-09 12:34:25.778409
