epoch,step,loss,datetime
0,0,6.928338050842285,2023-06-28 11:39:50.231653
0,10,6.550301551818848,2023-06-28 11:40:03.758990
0,20,6.21696662902832,2023-06-28 11:40:17.184340
0,30,6.42376708984375,2023-06-28 11:40:31.330445
0,40,6.1422343254089355,2023-06-28 11:40:47.091777
0,50,6.157412528991699,2023-06-28 11:41:01.732906
0,60,6.0060505867004395,2023-06-28 11:41:19.593979
0,70,6.204258918762207,2023-06-28 11:41:33.413266
0,80,6.03456449508667,2023-06-28 11:41:49.563623
0,90,6.17513370513916,2023-06-28 11:42:07.677818
0,100,5.918624401092529,2023-06-28 11:42:23.036061
0,110,5.819629669189453,2023-06-28 11:42:36.809253
0,120,5.766571998596191,2023-06-28 11:42:53.654393
0,130,5.630955219268799,2023-06-28 11:43:08.402261
0,140,5.71713924407959,2023-06-28 11:43:22.873888
0,150,5.634664535522461,2023-06-28 11:43:39.263033
0,160,5.700801372528076,2023-06-28 11:43:54.848317
0,170,5.60289192199707,2023-06-28 11:44:09.860467
0,180,5.806404113769531,2023-06-28 11:44:23.595309
0,190,5.543774604797363,2023-06-28 11:44:41.892586
0,200,5.915866374969482,2023-06-28 11:44:57.721310
0,210,6.109015464782715,2023-06-28 11:45:11.661512
0,220,5.644265651702881,2023-06-28 11:45:24.820016
0,230,5.70458984375,2023-06-28 11:45:39.717231
0,240,5.617690086364746,2023-06-28 11:45:54.756950
0,250,5.699453353881836,2023-06-28 11:46:10.608635
0,260,5.514084815979004,2023-06-28 11:46:27.367277
0,270,5.482839584350586,2023-06-28 11:46:41.011171
0,280,5.551068305969238,2023-06-28 11:46:56.504562
0,290,5.551286220550537,2023-06-28 11:47:10.607439
0,300,5.487311363220215,2023-06-28 11:47:23.444986
0,310,5.552855014801025,2023-06-28 11:47:36.669507
1,0,5.508426189422607,2023-06-28 11:47:50.783596
1,10,5.447170734405518,2023-06-28 11:48:06.495530
1,20,5.406472206115723,2023-06-28 11:48:16.404607
1,30,5.485561370849609,2023-06-28 11:48:26.432947
1,40,5.345932960510254,2023-06-28 11:48:36.681042
1,50,5.404293060302734,2023-06-28 11:48:46.450335
1,60,5.479645729064941,2023-06-28 11:48:56.810155
